tau,t_phys,p_inlet,p_outlet,q_outlet,w_center,w_monitor,volume,power,w_max_abs
3.160625000000e+01,1.676174527716e-03,0.000000000000e+00,4.892710451410e-12,-5.729707007626e-19,1.164797680288e-18,-3.665335688543e-07,-2.897973211185e-21,-0.000000000000e+00,3.665335688560e-07
3.161250000000e+01,1.676505984019e-03,0.000000000000e+00,4.959412247290e-12,-5.804066586469e-19,1.146181616906e-18,-2.998835848094e-07,-2.898165590631e-21,-0.000000000000e+00,2.998835848111e-07
3.161875000000e+01,1.676837440323e-03,0.000000000000e+00,5.022962340563e-12,-5.875746540849e-19,1.127385324752e-18,-2.330935454688e-07,-2.898360345954e-21,-0.000000000000e+00,2.330935454705e-07
3.162500000000e+01,1.677168896627e-03,0.000000000000e+00,5.087002555219e-12,-5.947426495230e-19,1.108409915586e-18,-1.662036419291e-07,-2.898557477154e-21,-0.000000000000e+00,1.662036419307e-07
3.163125000000e+01,1.677500352931e-03,0.000000000000e+00,5.142950910660e-12,-6.016426825147e-19,1.089255821760e-18,-9.925410112029e-08,-2.898756895414e-21,-0.000000000000e+00,9.925410112193e-08
3.163750000000e+01,1.677831809234e-03,0.000000000000e+00,5.206974587846e-12,-6.082747530602e-19,1.069923552831e-18,-3.228516162826e-08,-2.898958511915e-21,-0.000000000000e+00,3.228516162987e-08
3.164375000000e+01,1.678163265538e-03,0.000000000000e+00,5.257105586958e-12,-6.149068236057e-19,1.050412954387e-18,3.466295047547e-08,-2.899162326658e-21,-0.000000000000e+00,3.466295047547e-08
3.165000000000e+01,1.678494721842e-03,0.000000000000e+00,5.311835772524e-12,-6.212709317049e-19,1.030723347019e-18,1.015500457816e-07,-2.899368250825e-21,-0.000000000000e+00,1.015500457816e-07
3.165625000000e+01,1.678826178145e-03,0.000000000000e+00,5.367663694726e-12,-6.275010585809e-19,1.010853711613e-18,1.683359956543e-07,-2.899576240006e-21,-0.000000000000e+00,1.683359956543e-07
3.166250000000e+01,1.679157634449e-03,0.000000000000e+00,5.410962226396e-12,-6.335302136223e-19,9.908026739095e-19,2.349807562923e-07,-2.899786227589e-21,-0.000000000000e+00,2.349807562923e-07
3.166875000000e+01,1.679489090753e-03,0.000000000000e+00,5.459733132693e-12,-6.393583968289e-19,9.705691221474e-19,3.014443927234e-07,-2.899998146960e-21,-0.000000000000e+00,3.014443927234e-07
3.167500000000e+01,1.679820547056e-03,0.000000000000e+00,5.515102887875e-12,-6.451195894240e-19,9.501501533960e-19,3.676871027198e-07,-2.900211975914e-21,-0.000000000000e+00,3.676871027198e-07
3.168125000000e+01,1.680152003360e-03,0.000000000000e+00,5.566961823429e-12,-6.506128195728e-19,9.295445323654e-19,4.336692406201e-07,-2.900427625635e-21,-0.000000000000e+00,4.336692406201e-07
3.168750000000e+01,1.680483459664e-03,0.000000000000e+00,5.607976435334e-12,-6.558380872753e-19,9.087486767155e-19,4.993513410413e-07,-2.900645007303e-21,-0.000000000000e+00,4.993513410413e-07
3.169375000000e+01,1.680814915967e-03,0.000000000000e+00,5.652826193706e-12,-6.610633549778e-19,8.877607335116e-19,5.646941424701e-07,-2.900864120919e-21,-0.000000000000e+00,5.646941424701e-07
3.170000000000e+01,1.681146372271e-03,0.000000000000e+00,5.699502939163e-12,-6.658866790108e-19,8.665784792321e-19,6.296586107161e-07,-2.901084833256e-21,-0.000000000000e+00,6.296586107161e-07
3.170625000000e+01,1.681477828575e-03,0.000000000000e+00,5.724406128461e-12,-6.706430124324e-19,8.451988256529e-19,6.942059622154e-07,-2.901307122110e-21,-0.000000000000e+00,6.942059622154e-07
3.171250000000e+01,1.681809284878e-03,0.000000000000e+00,5.773762012193e-12,-6.752653646307e-19,8.236205374841e-19,7.582976871694e-07,-2.901530943072e-21,-0.000000000000e+00,7.582976871694e-07
3.171875000000e+01,1.682140741182e-03,0.000000000000e+00,5.811976144832e-12,-6.796197543828e-19,8.018426264939e-19,8.218955725053e-07,-2.901756207324e-21,-0.000000000000e+00,8.218955725053e-07
3.172500000000e+01,1.682472197486e-03,0.000000000000e+00,5.846010264200e-12,-6.837061816886e-19,7.798641044506e-19,8.849617246444e-07,-2.901982826048e-21,-0.000000000000e+00,8.849617246444e-07
3.173125000000e+01,1.682803653789e-03,0.000000000000e+00,5.879795070525e-12,-6.877256183828e-19,7.576879360495e-19,9.474585920654e-07,-2.902210777039e-21,-0.000000000000e+00,9.474585920654e-07
3.173750000000e+01,1.683135110093e-03,0.000000000000e+00,5.913704335395e-12,-6.915440832424e-19,7.353173330439e-19,1.009348987648e-06,-2.902439993685e-21,-0.000000000000e+00,1.009348987648e-06
3.174375000000e+01,1.683466566397e-03,0.000000000000e+00,5.946036603344e-12,-6.950945856556e-19,7.127552601293e-19,1.070596110786e-06,-2.902670387167e-21,-0.000000000000e+00,1.070596110786e-06
3.175000000000e+01,1.683798022700e-03,0.000000000000e+00,5.980275272181e-12,-6.985111068457e-19,6.900061643485e-19,1.131163569251e-06,-2.902901913076e-21,-0.000000000000e+00,1.131163569251e-06
3.175625000000e+01,1.684129479004e-03,0.000000000000e+00,6.005098917594e-12,-7.017266562011e-19,6.670727633392e-19,1.191015400804e-06,-2.903134504800e-21,-0.000000000000e+00,1.191015400804e-06
3.176250000000e+01,1.684460935308e-03,0.000000000000e+00,6.025685669466e-12,-7.047412337217e-19,6.439604923760e-19,1.250116094530e-06,-2.903368095724e-21,-0.000000000000e+00,1.250116094530e-06
