tau,t_phys,p_inlet,p_outlet,q_outlet,w_center,w_monitor,volume,power,w_max_abs
1.225000000000e+00,6.496543552151e-05,5.000000000000e+03,4.714234423335e+03,2.088148146812e-06,5.647682538821e-05,5.647682538821e-05,4.850195226070e-10,1.044074073406e-02,5.647682538821e-05
1.250000000000e+00,6.629126073624e-05,5.000000000000e+03,4.770359086871e+03,1.678033627349e-06,5.615620077221e-05,5.615620077221e-05,4.872443019013e-10,8.390168136744e-03,5.615620077221e-05
1.275000000000e+00,6.761708595096e-05,5.000000000000e+03,4.826412269949e+03,1.268441430369e-06,5.576337321648e-05,5.576337321648e-05,4.889260335331e-10,6.342207151844e-03,5.576337321648e-05
1.300000000000e+00,6.894291116569e-05,5.000000000000e+03,4.882264704240e+03,8.603161462773e-07,5.531090141817e-05,5.531090141817e-05,4.900666623724e-10,4.301580731386e-03,5.531090141817e-05
1.325000000000e+00,7.026873638041e-05,5.000000000000e+03,4.937780140069e+03,4.546533796203e-07,5.481008465587e-05,5.481008465587e-05,4.906694532871e-10,2.273266898101e-03,5.481008465587e-05
1.350000000000e+00,7.159456159514e-05,5.000000000000e+03,4.992814373191e+03,5.250686062293e-08,5.427089196792e-05,5.427089196792e-05,4.907390682068e-10,2.625343031146e-04,5.427089196792e-05
1.375000000000e+00,7.292038680986e-05,5.000000000000e+03,5.047214313183e+03,-3.450047473390e-07,5.370197135511e-05,5.370197135511e-05,4.902816522136e-10,-1.725023736695e-03,5.370197135511e-05
1.400000000000e+00,7.424621202459e-05,5.000000000000e+03,5.100817147908e+03,-7.366917423278e-07,5.311071637942e-05,5.311071637942e-05,4.893049277262e-10,-3.683458711639e-03,5.311071637942e-05
1.425000000000e+00,7.557203723931e-05,5.000000000000e+03,5.153449671447e+03,-1.121288472874e-06,5.250336928235e-05,5.250336928235e-05,4.878182951958e-10,-5.606442364370e-03,5.250336928235e-05
1.450000000000e+00,7.689786245404e-05,5.000000000000e+03,5.204927854615e+03,-1.497450199694e-06,5.188514305929e-05,5.188514305929e-05,4.858329379633e-10,-7.487250998469e-03,5.188514305929e-05
1.475000000000e+00,7.822368766876e-05,5.000000000000e+03,5.255056746348e+03,-1.863752375052e-06,5.126034893823e-05,5.126034893823e-05,4.833619280705e-10,-9.318761875261e-03,5.126034893823e-05
1.500000000000e+00,7.954951288349e-05,5.000000000000e+03,5.303630799068e+03,-2.218693020292e-06,5.063251974005e-05,5.063251974005e-05,4.804203289204e-10,-1.109346510146e-02,5.063251974005e-05
1.525000000000e+00,8.087533809821e-05,5.000000000000e+03,5.350434710087e+03,-2.560698874180e-06,5.000452318249e-05,5.000452318249e-05,4.770252897857e-10,-1.280349437090e-02,5.000452318249e-05
1.550000000000e+00,8.220116331294e-05,5.000000000000e+03,5.395244862583e+03,-2.888135922352e-06,4.937866208584e-05,4.937866208584e-05,4.731961263563e-10,-1.444067961176e-02,4.937866208584e-05
1.575000000000e+00,8.352698852766e-05,5.000000000000e+03,5.437831432526e+03,-3.199324793110e-06,4.875676057290e-05,4.875676057290e-05,4.689543808755e-10,-1.599662396555e-02,4.875676057290e-05
1.600000000000e+00,8.485281374239e-05,5.000000000000e+03,5.477961201826e+03,-3.492561313667e-06,4.814023678174e-05,4.814023678174e-05,4.643238550219e-10,-1.746280656834e-02,4.814023678174e-05
1.625000000000e+00,8.617863895711e-05,5.000000000000e+03,5.515401083094e+03,-3.766142266278e-06,4.753016344549e-05,4.753016344549e-05,4.593306086430e-10,-1.883071133139e-02,4.753016344549e-05
1.650000000000e+00,8.750446417184e-05,5.000000000000e+03,5.549922319201e+03,-4.018396075300e-06,4.692731808555e-05,4.692731808555e-05,4.540029178036e-10,-2.009198037650e-02,4.692731808555e-05
1.675000000000e+00,8.883028938656e-05,5.000000000000e+03,5.581305273625e+03,-4.247717811275e-06,4.633222465408e-05,4.633222465408e-05,4.483711864244e-10,-2.123858905637e-02,4.633222465408e-05
1.700000000000e+00,9.015611460128e-05,5.000000000000e+03,5.609344678622e+03,-4.452607540352e-06,4.574518836527e-05,4.574518836527e-05,4.424678070761e-10,-2.226303770176e-02,4.574518836527e-05
1.725000000000e+00,9.148193981601e-05,5.000000000000e+03,5.633855161449e+03,-4.631710705575e-06,4.516632526374e-05,4.516632526374e-05,4.363269682354e-10,-2.315855352788e-02,4.516632526374e-05
1.750000000000e+00,9.280776503073e-05,5.000000000000e+03,5.654676828604e+03,-4.783858932073e-06,4.459558785166e-05,4.459558785166e-05,4.299844074395e-10,-2.391929466036e-02,4.459558785166e-05
1.775000000000e+00,9.413359024546e-05,5.000000000000e+03,5.671680658384e+03,-4.908109431583e-06,4.403278787131e-05,4.403278787131e-05,4.234771121985e-10,-2.454054715791e-02,4.403278787131e-05
1.800000000000e+00,9.545941546018e-05,5.000000000000e+03,5.684773436725e+03,-5.003781069672e-06,4.347761713602e-05,4.347761713602e-05,4.168429730874e-10,-2.501890534836e-02,4.347761713602e-05
1.825000000000e+00,9.678524067491e-05,5.000000000000e+03,5.693901972892e+03,-5.070485170643e-06,4.292966712677e-05,4.292966712677e-05,4.101203959972e-10,-2.535242585322e-02,4.292966712677e-05
1.850000000000e+00,9.811106588963e-05,5.000000000000e+03,5.699056351374e+03,-5.108149279809e-06,4.238844792501e-05,4.238844792501e-05,4.033478828815e-10,-2.554074639904e-02,4.238844792501e-05
1.875000000000e+00,9.943689110436e-05,5.000000000000e+03,5.700272014025e+03,-5.117032378121e-06,4.185340693095e-05,4.185340693095e-05,3.965635923300e-10,-2.558516189061e-02,4.185340693095e-05
1.900000000000e+00,1.007627163191e-04,5.000000000000e+03,5.697630520062e+03,-5.097730435637e-06,4.132394771671e-05,4.132394771671e-05,3.898048927806e-10,-2.548865217819e-02,4.132394771671e-05
1.925000000000e+00,1.020885415338e-04,5.000000000000e+03,5.691258897502e+03,-5.051171672347e-06,4.079944927965e-05,4.079944927965e-05,3.831079220135e-10,-2.525585836173e-02,4.079944927965e-05
1.950000000000e+00,1.034143667485e-04,5.000000000000e+03,5.681327573268e+03,-4.978601433004e-06,4.027928588926e-05,4.027928588926e-05,3.765071666995e-10,-2.489300716502e-02,4.027928588926e-05
1.975000000000e+00,1.047401919633e-04,5.000000000000e+03,5.668046944993e+03,-4.881557136612e-06,3.976284765621e-05,3.976284765621e-05,3.700350751607e-10,-2.440778568306e-02,3.976284765621e-05
2.000000000000e+00,1.060660171780e-04,5.000000000000e+03,5.651662729838e+03,-4.761834289264e-06,3.924956189101e-05,3.924956189101e-05,3.637217151917e-10,-2.380917144632e-02,3.924956189101e-05
2.025000000000e+00,1.073918423927e-04,5.000000000000e+03,5.632450288936e+03,-4.621445011685e-06,3.873891525893e-05,3.873891525893e-05,3.575944868667e-10,-2.310722505842e-02,3.873891525893e-05
2.050000000000e+00,1.087176676074e-04,5.000000000000e+03,5.610708175890e+03,-4.462570896768e-06,3.823047667329e-05,3.823047667329e-05,3.516778978493e-10,-2.231285448384e-02,3.823047667329e-05
2.075000000000e+00,1.100434928222e-04,5.000000000000e+03,5.586751190749e+03,-4.287512253569e-06,3.772392079945e-05,3.772392079945e-05,3.459934059950e-10,-2.143756126784e-02,3.772392079945e-05
2.100000000000e+00,1.113693180369e-04,5.000000000000e+03,5.560903235351e+03,-4.098635899763e-06,3.721905196359e-05,3.721905196359e-05,3.405593311732e-10,-2.049317949881e-02,3.721905196359e-05
2.125000000000e+00,1.126951432516e-04,5.000000000000e+03,5.533490261617e+03,-3.898323633437e-06,3.671582817269e-05,3.671582817269e-05,3.353908354048e-10,-1.949161816718e-02,3.671582817269e-05
