tau,t_phys,p_inlet,p_outlet,q_outlet,w_center,w_monitor,volume,power,w_max_abs
8.075000000000e+00,4.282415443561e-04,0.000000000000e+00,5.827900052853e+00,-4.258567052466e-08,2.048034323778e-07,2.048034323778e-07,-3.465521897122e-10,-0.000000000000e+00,2.048034323778e-07
8.100000000000e+00,4.295673695708e-04,0.000000000000e+00,6.397710221022e+00,-4.674939122391e-08,2.085061310392e-07,2.085061310392e-07,-3.466141712339e-10,-0.000000000000e+00,2.085061310392e-07
8.125000000000e+00,4.308931947856e-04,0.000000000000e+00,6.890435604827e+00,-5.034983746760e-08,2.115688654507e-07,2.115688654507e-07,-3.466809263180e-10,-0.000000000000e+00,2.115688654507e-07
8.150000000000e+00,4.322190200003e-04,0.000000000000e+00,7.307769951994e+00,-5.339938582050e-08,2.138550646451e-07,2.138550646451e-07,-3.467517245701e-10,-0.000000000000e+00,2.138550646451e-07
8.175000000000e+00,4.335448452150e-04,0.000000000000e+00,7.652273512878e+00,-5.591674456127e-08,2.152370196381e-07,2.152370196381e-07,-3.468258604000e-10,-0.000000000000e+00,2.152370196381e-07
8.200000000000e+00,4.348706704297e-04,0.000000000000e+00,7.927284531851e+00,-5.792630693166e-08,2.155987257111e-07,2.155987257111e-07,-3.469026605583e-10,-0.000000000000e+00,2.155987257111e-07
8.225000000000e+00,4.361964956445e-04,0.000000000000e+00,8.136820378545e+00,-5.945742868212e-08,2.148384531322e-07,2.148384531322e-07,-3.469814907165e-10,-0.000000000000e+00,2.148384531322e-07
8.250000000000e+00,4.375223208592e-04,0.000000000000e+00,8.285470579397e+00,-6.054364643114e-08,2.128710027527e-07,2.128710027527e-07,-3.470617610095e-10,-0.000000000000e+00,2.128710027527e-07
8.275000000000e+00,4.388481460739e-04,0.000000000000e+00,8.378284098444e+00,-6.122185400274e-08,2.096296092006e-07,2.096296092006e-07,-3.471429304872e-10,-0.000000000000e+00,2.096296092006e-07
8.300000000000e+00,4.401739712886e-04,0.000000000000e+00,8.420653252058e+00,-6.153145416744e-08,2.050674612560e-07,2.050674612560e-07,-3.472245104407e-10,-0.000000000000e+00,2.050674612560e-07
8.325000000000e+00,4.414997965034e-04,0.000000000000e+00,8.418196626449e+00,-6.151350309624e-08,1.991588163324e-07,1.991588163324e-07,-3.473060665941e-10,-0.000000000000e+00,1.991588163324e-07
8.350000000000e+00,4.428256217181e-04,0.000000000000e+00,8.376643301869e+00,-6.120986436295e-08,1.918996936818e-07,1.918996936818e-07,-3.473872201757e-10,-0.000000000000e+00,1.918996936818e-07
8.375000000000e+00,4.441514469328e-04,0.000000000000e+00,8.301720576855e+00,-6.066238852203e-08,1.833081388707e-07,1.833081388707e-07,-3.474676479000e-10,-0.000000000000e+00,1.833081388707e-07
8.400000000000e+00,4.454772721475e-04,0.000000000000e+00,8.199047234005e+00,-5.991213317952e-08,1.734240600971e-07,1.734240600971e-07,-3.475470809168e-10,-0.000000000000e+00,1.734240600971e-07
8.425000000000e+00,4.468030973622e-04,0.000000000000e+00,8.074034200801e+00,-5.899863710116e-08,1.623086449021e-07,1.623086449021e-07,-3.476253027975e-10,-0.000000000000e+00,1.623086449021e-07
8.450000000000e+00,4.481289225770e-04,0.000000000000e+00,7.931794240522e+00,-5.795926030524e-08,1.500433736180e-07,1.500433736180e-07,-3.477021466462e-10,-0.000000000000e+00,1.500433736180e-07
8.475000000000e+00,4.494547477917e-04,0.000000000000e+00,7.777062065419e+00,-5.682860031301e-08,1.367286533530e-07,1.367286533530e-07,-3.477774914375e-10,-0.000000000000e+00,1.367286533530e-07
8.500000000000e+00,4.507805730064e-04,0.000000000000e+00,7.614126003322e+00,-5.563799282247e-08,1.224821032849e-07,1.224821032849e-07,-3.478512576912e-10,-0.000000000000e+00,1.224821032849e-07
8.525000000000e+00,4.521063982211e-04,0.000000000000e+00,7.446772076082e+00,-5.441510307800e-08,1.074365283917e-07,1.074365283917e-07,-3.479234026070e-10,-0.000000000000e+00,1.074365283917e-07
8.550000000000e+00,4.534322234359e-04,0.000000000000e+00,7.278241069866e+00,-5.318361217410e-08,9.173762435756e-08,9.173762435756e-08,-3.479939147810e-10,-0.000000000000e+00,9.173762435756e-08
8.575000000000e+00,4.547580486506e-04,0.000000000000e+00,7.111198899419e+00,-5.196300050096e-08,7.554146112882e-08,7.554146112882e-08,-3.480628086373e-10,-0.000000000000e+00,7.554146112882e-08
8.600000000000e+00,4.560838738653e-04,0.000000000000e+00,6.947720296452e+00,-5.076842855212e-08,5.901179638006e-08,5.901179638006e-08,-3.481301187000e-10,-0.000000000000e+00,5.901179638006e-08
8.625000000000e+00,4.574096990800e-04,0.000000000000e+00,6.789285591575e+00,-4.961071340938e-08,4.231727287770e-08,4.231727287770e-08,-3.481958938347e-10,-0.000000000000e+00,4.231727287770e-08
8.650000000000e+00,4.587355242948e-04,0.000000000000e+00,6.636790114181e+00,-4.849639742972e-08,2.562855536148e-08,2.562855536148e-08,-3.482601915813e-10,-0.000000000000e+00,2.562855536148e-08
8.675000000000e+00,4.600613495095e-04,0.000000000000e+00,6.490565509452e+00,-4.742790401303e-08,9.115463054561e-09,9.115463054561e-09,-3.483230726923e-10,-0.000000000000e+00,9.511868954108e-09
8.700000000000e+00,4.613871747242e-04,0.000000000000e+00,6.350412069463e+00,-4.640377385222e-08,-7.055846741360e-09,-7.055846741360e-09,-3.483845959857e-10,-0.000000000000e+00,7.055846741360e-09
