E_dt005,E_dt010
6.557117573222312,5.244604200349881
6.531061664753713,6.278951546849103
6.5253451271878165,6.285241527819694
6.55686946336282,6.251058869455383
6.112014778911267,6.284513965311344
5.7384306881155736,5.079638142369605
5.656024013608142,6.270194620019853
6.557906153220768,6.256665933699367
6.552471825919698,6.2728507299589715
5.657051393772887,6.274000833386681
6.535641276474597,6.274214518593543
6.553227927634754,6.295521316522069
6.546050736516205,6.241849194110076
6.534117347272219,6.264080770268895
5.796463340819141,5.123442859037102
6.551518322662,6.2620454475665905
6.514407331259342,6.2868041513891955
5.753745123650984,5.137937640315041
5.685485311511591,6.265786410972236
6.538390575824312,5.023420281175473
6.5439600617059295,6.26450633738671
5.8868351741497555,6.367810712104834
6.5320982099469695,5.123670663408907
5.808830837143271,5.649254380022183
6.547974647349829,5.413589804416128
6.52504453537806,5.424911850895679
6.523858828460771,6.356433403433737
6.554602391408067,6.365791451560579
6.542778973475773,6.291702182494024
6.541818100469516,5.001912372111114
6.534984859605843,6.252530307994787
6.5548852239503415,6.27523733844346
6.544824229216911,6.358069790584839
5.857030426394232,5.251159634890673
6.549354622479854,6.370871020480184
6.563078323732393,5.33782389281134
6.540641200873505,6.261466717773012
6.545017943088255,6.302869793141358
5.635807455898856,6.31323163049905
5.987849632612468,6.241309656139858
6.531425079619542,6.36810999175398
5.722815348306423,6.278171496322053
6.539750745380492,5.022958064441051
5.697462128958999,5.28842065716767
6.553515068493262,5.210652372725633
6.5496663170258875,6.298208073307703
6.525094273445891,5.282267876994403
5.75252459257953,6.303596693468506
5.681244910312762,6.245247410514976
6.005191244642512,6.364693573975412
6.550699782565166,6.366626826209851
6.549572185510575,5.23339260314674
6.550792966424952,5.135880077023465
6.544816018508348,6.281697178390814
5.90864004808215,6.2392861472291
6.0138604706596945,5.2390153744278365
6.550369105653129,6.35488806540368
6.533828070303416,5.153240386038796
6.551102792972484,6.258480742812425
5.691219929208146,5.228402093977152
6.555868841977283,6.2385933650102166
5.930392516031556,6.358816639597654
6.5124894013022265,6.240329963892167
6.522183070969408,6.2769159105200965
6.530775463999126,5.313071593976115
5.784816807517011,6.243939711366972
6.5448914241283696,6.364545991525934
6.535868511123743,6.365060787701784
6.537951293802516,5.142081940935987
6.558144570579797,5.374224853949263
5.733573688639734,6.327548709019068
6.5358175173134665,6.3681384916786925
5.815543294080712,6.306543964764427
5.734349749454364,5.198753054757745
6.536666808758581,4.905454166743198
5.762688756083946,6.285476589861564
5.745307553286993,6.356895611280004
5.725102622897477,6.24829454890555
6.536661643015022,6.283494504991285
6.526310346851119,6.303738150902431
6.54675781907297,6.268473701252466
5.682339005618897,6.364793087321109
6.534494434548478,5.110958292933738
6.53328264174878,5.068950852238651
6.546562171004875,6.261591614804858
6.523037468372607,5.3212640331947725
6.567539189682526,6.280161602689944
6.559543328666134,6.266799180783815
6.515073163150799,6.254628713586897
6.548353503946726,6.257742153827422
6.5395475250478,6.253325386735413
6.522810231698614,6.270490562741047
6.5411649473022315,6.240252150264733
6.51173844372752,5.169802572930078
6.533224649475583,5.36110401558559
6.542470775621423,4.980909629688789
5.74208990734558,6.367773471097646
5.679941469086078,4.9996161440761
5.841089078413459,6.355488061275073
6.5339455060939144,6.243249362518863
6.553449659691477,6.26910656576591
6.540561583174491,6.268973231911931
5.750668574390998,5.08260303176102
6.511348601498618,6.2880956415337215
5.732707382647744,5.245952006485326
6.549126226281476,5.346705539775788
6.531690326859513,5.400733435257511
6.536940654727006,6.3698112375519145
6.529444523014889,5.043589355908235
5.833834478391078,5.043814542020776
6.029016471825042,5.018378834360032
6.552860639299018,6.351598257313395
6.5503201237865625,5.4239643452885105
6.531702872620876,6.263843230279759
6.5255669939751515,6.296786574130158
6.53268228293872,5.2824442500266455
6.532627925413411,4.988485786254973
6.535159964666732,6.2566362330307275
6.535327043588726,6.290914334925125
6.52888455790108,6.266999673351078
6.531526033214844,5.209859159614126
6.5207608928556215,6.305479302318984
6.516988848663994,6.288988588604999
6.536056894543482,6.367713136923189
5.829284580922689,5.096889437469586
6.556804455481236,6.366739306864396
6.5459932359694495,5.385573043906673
6.530828622971789,6.362838934574626
6.55380558696565,6.368802705643588
6.525988622356156,5.192793197312243
6.558028274665798,5.275732066392425
6.539775292429905,5.0110585189161085
5.691830052851913,6.229570292371894
5.777505596482722,6.305349181040202
5.8718994079551665,6.241594466603054
5.861017547551384,5.071162602283973
6.556170280357724,6.2768393085388166
5.888097427197561,5.471530357880126
6.5193171877103016,6.249677572057237
6.5460012148760605,6.266245810104938
6.545801626654397,4.986167598350827
6.558062426125041,6.266414295309115
6.535865836362236,6.272242729009945
6.5275170992534,5.030328461802701
5.8279162495464165,6.288040641880674
5.848442575564047,6.291388449400231
