N,prob,se,qin_m3_s
214,0.6635514018691588,0.032299050863245325,3.2039129775996776e-06
215,0.6604651162790698,0.032295938722106655,1.621327946274053e-05
216,0.6620370370370371,0.0321846523284188,3.009345886155944e-06
217,0.6589861751152074,0.03218061042303652,1.500004775159126e-05
218,0.6605504587155964,0.03207098993547498,5.135278717757717e-06
219,0.6575342465753424,0.03206606772496728,1.728817412668846e-05
220,0.6590909090909091,0.03195807499640087,5.424154992036899e-06
221,0.6606334841628959,0.03185067561922833,3.1533547819140683e-06
222,0.6621621621621622,0.031743867476338984,4.893216583755852e-06
223,0.6591928251121076,0.03174009110111126,1.9853150025532878e-05
224,0.6607142857142857,0.031634838839887526,4.954476449324481e-06
225,0.6577777777777778,0.03163023678834375,2.0102060791615514e-05
226,0.6592920353982301,0.031526505736863705,5.607836375761023e-06
227,0.6607929515418502,0.03142333000230474,5.444997246076432e-06
228,0.6622807017543859,0.03132070764462555,2.9435012409892876e-06
229,0.6637554585152838,0.031218636649667616,5.129982376402554e-06
230,0.6608695652173913,0.031216006414405518,1.3056503085771384e-05
231,0.658008658008658,0.031211696109011946,1.955424797901447e-05
232,0.6551724137931034,0.031205763310370296,1.8424330341145333e-05
233,0.6566523605150214,0.031106906754496275,5.6863810559085876e-06
234,0.6538461538461539,0.031100290002409228,1.5908409971799657e-05
235,0.6553191489361702,0.031002811264000726,5.382565444820344e-06
236,0.6567796610169492,0.030905825920221924,3.1401258535331872e-06
237,0.6582278481012658,0.030809332528047555,5.348327928957891e-06
238,0.6596638655462185,0.030713329575423234,3.1557592878650414e-06
239,0.6569037656903766,0.030708591761927976,1.703683154394471e-05
240,0.6541666666666667,0.030702377682687222,1.3677157028303383e-05
241,0.6556016597510373,0.030608498500028287,5.718614352251839e-06
242,0.6570247933884298,0.030515083268196446,5.575586797928634e-06
243,0.6584362139917695,0.030422130650509735,5.187126675737814e-06
244,0.6598360655737705,0.03032963924900837,5.323284394209876e-06
245,0.6612244897959184,0.030237607607694787,5.347461473164804e-06
246,0.6626016260162602,0.030146034215637035,5.411664564315929e-06
247,0.6639676113360324,0.030054917509941294,5.459085948590235e-06
248,0.6653225806451613,0.02996425587859912,5.154771375798101e-06
249,0.6666666666666666,0.029874047663214724,5.486161449011706e-06
250,0.668,0.029784291161617394,3.095536019713709e-06
251,0.6693227091633466,0.02969498463036391,5.215804787993676e-06
252,0.6706349206349206,0.029606126287135555,5.322917361083483e-06
253,0.6719367588932806,0.02951771431303421,5.101897365060324e-06
254,0.6692913385826772,0.02951980802228864,1.8491930607318504e-05
255,0.6705882352941176,0.029432518629226412,5.224527956915536e-06
256,0.671875,0.02934566250257172,5.105030119621057e-06
257,0.669260700389105,0.02934769529419463,1.781900394638988e-05
258,0.6705426356589147,0.02926192921933956,5.686637605754557e-06
259,0.6718146718146718,0.02917658384032596,5.1052840455631106e-06
260,0.6692307692307692,0.029178558167149052,1.4413324922514105e-05
261,0.6666666666666666,0.02917920730216057,1.9959455904729763e-05
262,0.6641221374045801,0.029178571297327982,1.866563353181676e-05
263,0.6653992395437263,0.02909556115508196,5.374718085525795e-06
264,0.6628787878787878,0.029094315053044665,1.6057434875678544e-05
265,0.660377358490566,0.02909185860849321,1.5658283027576424e-05
